sample,fastq_1,fastq_2,umi,umi_file,strandedness,subsample
Adept_CB1_5M,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB1/Adept_CB1_R1.fastq.gz,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB1/Adept_CB1_R2.fastq.gz,,,,5M
Adept_CB2_5M,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB2/Adept_CB2_R1.fastq.gz,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB2/Adept_CB2_R2.fastq.gz,,,,5M
Adept_CB3_5M,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB3/Adept_CB3_R1.fastq.gz,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB3/Adept_CB3_R2.fastq.gz,,,,5M
Adept_CB4_5M,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB4/Adept_CB4_R1.fastq.gz,/groups/vbcf-ngs/data/aviti/results/results_AV0007/Samples/Adept_CB4/Adept_CB4_R2.fastq.gz,,,,5M
